dataset,split,method,context_len,ttft_sec,ttft_sec_std,tpot_sec,tpot_sec_std,e2e_sec,e2e_sec_std,throughput_tok_per_sec,throughput_tok_per_sec_std,generated_tokens,speed_repeats,source
pg19,test,baseline,128,0.0829245333337288,0.003413855724059608,0.012354322222226646,2.0176341318636655e-05,0.8612479000003077,0.004091864038529891,74.31189403659725,0.35290306980605235,64,3,metrics_baseline_pg19_test.json
pg19,test,baseline,512,0.23580693333345457,0.01730746769769624,0.013029199999995177,0.0006033543130729638,1.0566476666666251,0.04544700007815557,60.64477530547409,2.646281981596331,64,3,metrics_baseline_pg19_test.json
pg19,test,baseline,1024,0.42168789999990014,0.004956380512930347,0.014774903174603188,0.00017838347790220086,1.3525081999999504,0.012449991475002434,47.322150942789825,0.43339738584345444,64,3,metrics_baseline_pg19_test.json
pg19,test,gqa_reduced_kv2,128,0.13763406666597197,0.02326998773682185,0.017006826455024316,0.0016815429202179952,1.2090653999991143,0.12278692829723327,53.27957369755534,5.112458780631646,64,3,metrics_gqa_pg19_test.json
pg19,test,gqa_reduced_kv2,512,0.7746184333342777,0.027887145564204466,0.03964685502645682,0.003927807665691411,3.2723715333334744,0.22855324140852692,19.61909683338686,1.3190729466079376,64,3,metrics_gqa_pg19_test.json
pg19,test,gqa_reduced_kv2,1024,1.7644998999997672,0.01465731212273856,0.0270333761904757,0.0015411062401799965,3.4676044000001034,0.08370231085179072,18.463803747471808,0.45102348686813687,64,3,metrics_gqa_pg19_test.json
pg19,test,kvpress_knorm_r0.5,128,0.12763379999978497,0.026467465035831837,0.01363228677248463,0.0007410677941031691,0.9864689666665072,0.06669913735983829,65.07323906637238,4.337144682731299,64,3,metrics_kvpress_knorm_r0.5_pg19_test.json
pg19,test,kvpress_knorm_r0.5,512,0.31903843333354115,0.023100101198672663,0.014704382010581121,0.001662956979883201,1.245415699999891,0.1277721373270491,51.733488958829945,5.046518436066903,64,3,metrics_kvpress_knorm_r0.5_pg19_test.json
pg19,test,kvpress_knorm_r0.5,1024,0.6191411333329597,0.025672460052935223,0.015150433862434405,0.0004400098548336833,1.5736194999999498,0.04337097015930095,40.69115919252393,1.120761506552596,64,3,metrics_kvpress_knorm_r0.5_pg19_test.json
pg19,test,kvpress_streamingllm_r0.5_sink4,128,0.10720293333300408,0.005269542653220677,0.013619189947084118,0.0007302712291946521,0.9652132666663723,0.0468646190768529,66.40865687774702,3.153667286739543,64,3,metrics_kvpress_streamingllm_r0.5_pg19_test.json
pg19,test,kvpress_streamingllm_r0.5_sink4,512,0.2794091333335018,0.037218636892208216,0.012880175132277289,0.000900509850713512,1.0908611333337224,0.0763861879961857,58.85416013382468,3.961107643432231,64,3,metrics_kvpress_streamingllm_r0.5_pg19_test.json
pg19,test,kvpress_streamingllm_r0.5_sink4,1024,0.4245885666665951,0.014507530358548069,0.013012837037042127,0.00016459396825867567,1.2443984333331173,0.01982363864830499,51.43910279590217,0.812590732935665,64,3,metrics_kvpress_streamingllm_r0.5_pg19_test.json
wikitext,test,baseline,128,0.1188428666667581,0.08376084672280612,0.019424718518517913,0.0057672310310154205,1.3426015000001523,0.4433682802689486,50.87172841517712,14.642829658899801,64,3,metrics_baseline_wikitext_test.json
wikitext,test,baseline,512,0.5689187666663807,0.09014196457178171,0.020437806349205116,0.005077742616800068,1.8565017666666488,0.26561584257852516,34.95005954221852,5.0140914036717295,64,3,metrics_baseline_wikitext_test.json
wikitext,test,baseline,1024,0.32458660000005085,0.037570577607687734,0.014731782539687599,0.000723041575323128,1.2526899666666698,0.08093220426631352,51.23787722430891,3.432263248737693,64,3,metrics_baseline_wikitext_test.json
wikitext,test,gqa_reduced_kv2,128,0.17851746666686572,0.060352225310603524,0.02188348994708836,0.0018464616923020523,1.557178666666611,0.15757236533642868,41.37757067004966,4.121378041823493,64,3,metrics_gqa_wikitext_test.json
